업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
,,대성암본가초밥집 본점,경상북도 김천시 평화동 299-16,경상북도 김천시 평화동 299-16,,,
,,추풍령할매갈비,경상북도 김천시 봉산면 봉산로 15,경상북도 김천시 봉산면 봉산로 15,,,
,,미진식당,경상북도 김천시 황금동 12-10,경상북도 김천시 황금동 12-10,,,
,,한성식당,경상북도 김천시 대항면 향천리 311-3,경상북도 김천시 대항면 향천리 311-3,,,
,,강성면옥,경상북도 김천시 부곡동 398-24,경상북도 김천시 부곡동 398-24,,,
,,김천한우촌,경상북도 김천시 신음동 848-1,경상북도 김천시 신음동 848-1,,,
,,갈무리식당,경상북도 김천시 황금동 31-17,경상북도 김천시 황금동 31-17,,,
,,참맛집,경상북도 김천시 신음동 1022-2,경상북도 김천시 신음동 1022-2,,,
,,일직식당,경상북도 김천시 대항면 황학동길 4-7,경상북도 김천시 대항면 황학동길 4-7,,,
,,중국만두,경상북도 김천시 용두동 163-4,경상북도 김천시 용두동 163-4,,,
,,만당식당,경상북도 김천시 남면 옥산리 391,경상북도 김천시 남면 옥산리 391,,,
,,지례식육점,경상북도 김천시 지례면 교리 530-1,경상북도 김천시 지례면 교리 530-1,,,
,,신흥원,경상북도 김천시 평화동 260-10,경상북도 김천시 평화동 260-10,,,
,,울산식당,경상북도 김천시 대항면 황학동길 4-27,경상북도 김천시 대항면 황학동길 4-27,,,
,,한우명가,경상북도 김천시 덕곡동 654-7,경상북도 김천시 덕곡동 654-7,,,
,,연화지쌈밥,경상북도 김천시 교동 819-2,경상북도 김천시 교동 819-2,,,
,,원조지례삼거리불고기,경상북도 김천시 지례면 교리 687-1,경상북도 김천시 지례면 교리 687-1,,,
,,교동 872,경상북도 김천시 교동 872,경상북도 김천시 교동 872,,,
,,배신식육식당,경상북도 김천시 감문면 태촌리 860,경상북도 김천시 감문면 태촌리 860,,,
,,연화지칼국수,경상북도 김천시 교동 865,경상북도 김천시 교동 865,,,
,,밀밭식당,경상북도 김천시 부곡동 410-19,경상북도 김천시 부곡동 410-19,,,
,,호박해물칼국수,경상북도 김천시 교동,경상북도 김천시 교동,,,
,,불나라,경상북도 김천시 평화동 245-127,경상북도 김천시 평화동 245-127,,,
,,곱창고 김천혁신도시점,경상북도 김천시 남면 혁신3로 15,경상북도 김천시 남면 혁신3로 15,,,
,,청개구리분식,경상북도 김천시 모암동 158-2,경상북도 김천시 모암동 158-2,,,
,,쪽쪽갈비,경상북도 김천시 신음동 482-18,경상북도 김천시 신음동 482-18,,,
,,명희네 해장짬뽕,경상북도 김천시 용두동 66-2,경상북도 김천시 용두동 66-2,,,
,,진땡이,경상북도 김천시 용두동 29,경상북도 김천시 용두동 29,,,
,,육봉달 김천신음점,경상북도 김천시 대신동 1214,경상북도 김천시 대신동 1214,,,
,,유촌포자,경상북도 김천시 남면 혁신3로 46,경상북도 김천시 남면 혁신3로 46,,,
,,거꾸로석쇠불고기,경상북도 김천시 모암동 187-4,경상북도 김천시 모암동 187-4,,,
,,양평칼국수,경상북도 김천시 신음동 462-7,경상북도 김천시 신음동 462-7,,,
